ticker,revised_ticker,first_qualifying_date,streak_still_active,hh_date,hh_price,pivot_kind,pullback_date,resistance_confirmed_date,suggested_resistance,is_valid_flag,resistance_override,status
AA,AA,2022-02-23,,2022-02-22,80.08,HL,2022-02-24,2022-02-28,80.08,,,OK
AACG,AACG,2021-02-08,,2021-02-04,19.75,HL,2021-02-11,2021-02-16,19.75,,,OK
AACG,AACG,2021-02-08,,2021-02-04,19.75,LH,2021-02-17,2021-02-19,6.36,,,OK
AACG,AACG,2021-02-08,,2021-02-04,19.75,LH,2021-02-26,2021-03-02,5.64,,,OK
AAI^11,AAI,2008-07-29,,2008-07-30,3.49,HL,2008-08-04,2008-08-06,3.49,,,OK
AAI^11,AAI,2008-07-29,,2008-07-30,3.49,LH,2008-08-05,2008-08-07,3.41,,,OK
AAI^11,AAI,2008-07-29,,2008-07-30,3.49,HL,2008-08-07,2008-08-11,3.41,,,OK
AAI^11,AAI,2008-07-29,,2008-08-11,3.69,HL,2008-08-13,2008-08-15,3.69,,,OK
AAI^11,AAI,2008-07-29,,2008-08-11,3.69,LH,2008-09-02,2008-09-04,3.05,,,OK
AAI^11,AAI,2008-07-29,,2008-08-11,3.69,HL,2008-09-08,2008-09-10,3.05,,,OK
AAI^11,AAI,2008-07-29,,2008-08-11,3.69,LH,2008-09-09,2008-09-11,3.0,,,OK
AAI^11,AAI,2008-08-12,,2008-09-16,3.21,HL,2008-09-17,2008-09-19,3.21,,,OK
AAI^11,AAI,2008-11-04,,2008-11-03,4.42,HL,2008-11-04,2008-11-06,4.42,,,OK
AAI^11,AAI,2008-11-04,,2008-11-03,4.42,HL,2008-11-13,2008-11-17,4.42,,,OK
AAI^11,AAI,2008-11-04,,2008-11-03,4.42,LH,2008-11-19,2008-11-21,3.93,,,OK
AAI^11,AAI,2008-11-04,,2008-11-03,4.42,LH,2008-11-28,2008-12-02,3.45,,,OK
AAI^11,AAI,2008-11-04,,2008-11-03,4.42,HL,2008-12-02,2008-12-04,3.45,,,OK
AAI^11,AAI,2008-11-04,,2008-12-09,3.95,HL,2008-12-12,2008-12-16,3.95,,,OK
AAI^11,AAI,2009-04-01,,2009-03-27,4.93,HL,2009-03-30,2009-04-01,4.93,,,OK
AAMRQ^13,AAMRQ,,False,,,,,,,,,no_daily_bars
AAMRQ^13,AAMRQ,,False,,,,,,,,,no_daily_bars
AAMRQ^13,AAMRQ,,False,,,,,,,,,no_daily_bars
AAMRQ^13,AAMRQ,,False,,,,,,,,,no_daily_bars
AAMRQ^13,AAMRQ,,False,,,,,,,,,no_daily_bars
AAMRQ^13,AAMRQ,,False,,,,,,,,,no_daily_bars
AAMRQ^13,AAMRQ,,False,,,,,,,,,no_daily_bars
AAMRQ^13,AAMRQ,,False,,,,,,,,,no_daily_bars
AAMRQ^13,AAMRQ,,False,,,,,,,,,no_daily_bars
AAMRQ^13,AAMRQ,,False,,,,,,,,,no_daily_bars
AAOI,AAOI,2017-05-12,,2017-05-12,67.01,HL,2017-05-18,2017-05-22,67.01,,,OK
AAOI,AAOI,2017-05-12,,2017-05-23,71.7,HL,2017-05-25,2017-05-30,71.7,,,OK
AAOI,AAOI,2017-05-12,,2017-06-06,75.59,LH,2017-06-19,2017-06-21,65.23,,,OK
AAOI,AAOI,2017-05-22,,2017-06-06,75.59,LH,2017-06-23,2017-06-27,67.18,,,OK
AAOI,AAOI,2017-05-22,,2017-06-06,75.59,HL,2017-06-28,2017-06-30,67.18,,,OK
AAOI,AAOI,2017-05-22,,2017-06-06,75.59,LH,2017-07-03,2017-07-06,63.75,,,OK
AAOI,AAOI,2017-05-26,,2017-06-06,75.59,HL,2017-07-06,2017-07-10,63.75,,,OK
AAOI,AAOI,2017-07-28,,2017-07-27,103.41,HL,2017-08-07,2017-08-09,103.41,,,OK
AAOI,AAOI,2017-07-28,,2017-07-27,103.41,HL,2017-08-10,2017-08-14,103.41,,,OK
AAOI,AAOI,2017-07-28,,2017-07-27,103.41,LH,2017-08-15,2017-08-17,71.45,,,OK
AAOI,AAOI,2017-07-28,,2017-07-27,103.41,LH,2017-08-24,2017-08-28,64.9,,,OK
AAOI,AAOI,2017-07-28,,2017-07-27,103.41,LH,2017-09-07,2017-09-11,59.25,,,OK
AAOI,AAOI,2017-07-31,,2017-07-27,103.41,HL,2017-09-08,2017-09-12,59.25,,,OK
AAOI,AAOI,2023-07-06,,2023-07-13,11.48,HL,2023-07-18,2023-07-20,11.48,,,OK
AAOI,AAOI,2023-07-06,,2023-07-13,11.48,LH,2023-07-25,2023-07-27,9.0,,,OK
AAOI,AAOI,2023-07-10,,2023-08-15,15.9,HL,2023-08-18,2023-08-22,15.9,,,OK
AAOI,AAOI,2023-07-17,,2023-08-24,16.26,HL,2023-08-28,2023-08-30,16.26,,,OK
AAOI,AAOI,2023-07-25,,2023-08-24,16.26,LH,2023-08-31,2023-09-05,15.78,,,OK
AAOI,AAOI,2023-08-07,,2023-08-24,16.26,LH,2023-09-18,2023-09-20,10.24,,,OK
AAOI,AAOI,2023-08-30,,2023-08-24,16.26,HL,2023-09-21,2023-09-25,10.24,,,OK
AAOI,AAOI,2023-11-16,,2023-11-20,14.63,HL,2023-11-27,2023-11-29,14.63,,,OK
AAOI,AAOI,2023-11-16,,2023-11-20,14.63,HL,2023-11-30,2023-12-04,14.63,,,OK
AAOI,AAOI,2023-11-16,,2023-12-19,24.08,HL,2023-12-21,2023-12-26,24.08,,,OK
AAOI,AAOI,2023-11-16,,2023-12-19,24.08,LH,2023-12-26,2023-12-28,23.66,,,OK
AAOI,AAOI,2023-11-28,,2023-12-19,24.08,LH,2024-01-10,2024-01-12,22.85,,,OK
AAOI,AAOI,2024-09-04,,2024-09-04,13.65,HL,2024-09-06,2024-09-10,13.65,,,OK
AAOI,AAOI,2024-09-04,,2024-09-12,14.99,HL,2024-09-18,2024-09-20,14.99,,,OK
AAOI,AAOI,2024-09-12,,2024-10-18,20.34,HL,2024-10-23,2024-10-25,20.34,,,OK
AAOI,AAOI,2025-12-23,,2025-12-23,41.96,HL,2025-12-31,2026-01-05,41.96,,,OK
AAOI,AAOI,2025-12-23,,2025-12-23,41.96,LH,2026-01-05,2026-01-07,41.35,,,OK
AAOI,AAOI,2025-12-23,,2025-12-23,41.96,LH,2026-01-16,2026-01-21,40.05,,,OK
AAOI,AAOI,2025-12-23,,2026-01-22,41.39,HL,2026-01-26,2026-01-28,40.05,,,OK
AAOI,AAOI,2026-02-25,,2026-03-11,128.96,HL,2026-03-17,2026-03-19,128.96,,,OK
AAOI,AAOI,2026-02-25,,2026-03-11,128.96,HL,2026-03-20,2026-03-24,128.96,,,OK
AAOI,AAOI,2026-02-25,,2026-03-11,128.96,LH,2026-03-25,2026-03-27,118.75,,,OK
AAWW^23,AAWW,,False,,,,,,,,,no_pivot_yet
ABAT,ABAT,,False,,,,,,,,,no_pivot_yet
ABAT,ABAT,,False,,,,,,,,,no_pivot_yet
ABAT,ABAT,2025-01-21,,2024-12-27,4.11,LH,2025-01-16,2025-01-21,2.25,,,OK
ABAT,ABAT,2025-01-21,,2024-12-27,4.11,LH,2025-01-31,2025-02-04,1.65,,,OK
ABAT,ABAT,2025-01-21,,2024-12-27,4.11,LH,2025-02-14,2025-02-19,1.3892,,,OK
ABAT,ABAT,2025-01-21,,2024-12-27,4.11,LH,2025-03-03,2025-03-05,1.07,,,OK
ABAT,ABAT,2025-07-24,,2025-07-25,3.89,HL,2025-08-01,2025-08-05,3.89,,,OK
ABAT,ABAT,2025-07-24,,2025-07-25,3.89,LH,2025-08-04,2025-08-06,2.65,,,OK
ABAT,ABAT,2025-07-24,,2025-08-15,2.87,HL,2025-08-20,2025-08-22,2.87,,,OK
ABAT,ABAT,2025-07-24,,2025-08-15,2.87,LH,2025-08-26,2025-08-28,2.82,,,OK
ABAT,ABAT,2025-07-24,,2025-08-15,2.87,HL,2025-09-02,2025-09-04,2.82,,,OK
ABAX^18,ABAX,,False,,,,,,,,,no_pivot_yet
ABCL,ABCL,2026-08-12,,2026-08-19,12.15,HL,2026-08-24,2026-08-26,12.15,,,OK
ABEO,ABEO,,False,,,,,,,,,no_pivot_yet
ABEO,ABEO,,False,,,,,,,,,no_pivot_yet
ABEO,ABEO,2017-09-08,,2017-09-05,381.125,HL,2017-09-13,2017-09-15,381.125,,,OK
ABEO,ABEO,2017-09-08,,2017-09-18,447.5,HL,2017-09-25,2017-09-27,447.5,,,OK
ABEO,ABEO,2017-09-08,,2017-09-29,472.5,HL,2017-10-09,2017-10-11,472.5,,,OK
ABEO,ABEO,2017-09-08,,2017-10-11,568.75,LH,2017-10-17,2017-10-19,458.75,,,OK
ABEO,ABEO,2017-09-11,,2017-10-11,568.75,LH,2017-10-23,2017-10-25,510.0,,,OK
ABG,ABG,2022-05-10,,2022-05-04,201.05,HL,2022-05-12,2022-05-16,201.05,,,OK
ABG,ABG,2022-05-10,,2022-05-04,201.05,LH,2022-05-17,2022-05-19,194.639,,,OK
ABKFQ^13,ABKFQ,,False,,,,,,,,,no_daily_bars
ABKFQ^13,ABKFQ,,False,,,,,,,,,no_daily_bars
ABKFQ^13,ABKFQ,,False,,,,,,,,,no_daily_bars
ABMD^22,ABMD,2015-08-24,,2015-08-13,110.6758,HL,2015-08-24,2015-08-26,110.6758,,,OK
ABOS,ABOS,2022-09-28,,2022-09-30,10.97,HL,2022-10-14,2022-10-18,10.97,,,OK
ABOS,ABOS,2022-09-28,,2022-09-30,10.97,HL,2022-10-21,2022-10-25,10.97,,,OK
ABOS,ABOS,2022-09-28,,2022-09-30,10.97,LH,2022-10-24,2022-10-26,8.0357,,,OK
ABSI,ABSI,2022-02-11,,2022-02-14,9.32,HL,2022-02-15,2022-02-17,9.32,,,OK
ABSI,ABSI,2022-02-11,,2022-02-14,9.32,HL,2022-02-24,2022-02-28,9.32,,,OK
ABSI,ABSI,2022-02-11,,2022-03-03,9.68,HL,2022-03-08,2022-03-10,9.68,,,OK
ABSI,ABSI,2022-02-11,,2022-03-03,9.68,LH,2022-03-11,2022-03-15,9.38,,,OK
ABSI,ABSI,2022-02-11,,2022-03-03,9.68,LH,2022-03-18,2022-03-22,9.25,,,OK
ABSI,ABSI,2022-02-16,,2022-03-03,9.68,LH,2022-03-30,2022-04-01,8.98,,,OK
ABSI,ABSI,2026-06-24,,2026-06-29,12.055,HL,2026-07-01,2026-07-06,12.055,,,OK
ABT,ABT,2008-10-20,,2008-09-29,60.78,HL,2008-10-16,2008-10-20,57.16,,,OK
ABTC,ABTC,,False,,,,,,,,,no_daily_bars
ABTS,ABTS,,False,,,,,,,,,no_daily_bars
ABTS,ABTS,,False,,,,,,,,,no_daily_bars
ABTS,ABTS,,False,,,,,,,,,no_daily_bars
ABUS,ABUS,,False,,,,,,,,,no_pivot_yet
ABUS,ABUS,,False,,,,,,,,,no_pivot_yet
ABUS,ABUS,,False,,,,,,,,,no_pivot_yet
ABUS,ABUS,2020-07-23,,2020-07-24,9.02,HL,2020-07-29,2020-07-31,9.02,,,OK
ABUS,ABUS,2020-07-23,,2020-07-24,9.02,LH,2020-07-30,2020-08-03,4.495,,,OK
ABUS,ABUS,2020-07-23,,2020-08-06,4.8853,LH,2020-08-17,2020-08-19,3.58,,,OK
ABUS,ABUS,2020-07-30,,2020-08-06,4.8853,LH,2020-09-09,2020-09-11,2.68,,,OK
ABUS,ABUS,2021-12-13,,2021-12-01,6.5,LH,2021-12-10,2021-12-14,4.67,,,OK
ABUS,ABUS,2021-12-13,,2021-12-01,6.5,HL,2021-12-17,2021-12-21,4.67,,,OK
ABUS,ABUS,2021-12-13,,2021-12-01,6.5,LH,2021-12-20,2021-12-22,4.5,,,OK
ABVEF,ABVEF,2025-10-16,,2025-10-16,6.56,HL,2025-10-22,2025-10-24,6.56,,,OK
ABVEF,ABVEF,2025-10-16,,2025-10-16,6.56,LH,2025-10-24,2025-10-28,5.86,,,OK
